se4_lag,se1_frc,se4_frc,se1_cond,se1_wattemp
5.866666667,0.3,0.1,25.8,
6.05,0.3,0.1,28.3,
6.033333333,0.2,0.1,26.5,
6.033333333,0.3,0.1,26.7,
5.983333333,0.2,0.1,26.2,
5.766666667,0.3,0.2,25.8,
6.016666667,0.2,0.1,26.9,
6.083333333,0.2,0.1,25.6,
-5.9,0.3,0.1,25.5,
6.183333333,0.3,0.1,25.6,
-5.933333333,0.3,0.2,25.3,
6.033333333,0.3,0.1,25.5,
6.05,0.3,0.1,25.2,
5.933333333,0.3,0.2,25.5,
6.383333333,0.3,0.1,24.8,
6.4,0.3,0.2,26.5,
4.183333333,0.3,0.1,26.2,
4.15,0.3,0.1,26.3,
4.233333333,0.3,0.2,25.2,
4.516666667,0.3,0.1,26.2,
6.9,0.33,0.23,71,22.8
6.483333333,0.7,0.53,,
8.75,0.64,0.55,,
10.03333333,0.67,0.57,,
6.283333333,0.67,0.64,,
6.216666667,0.64,0.41,,
6.5,0.74,0.48,,
6.866666667,0.64,0.45,,
6.833333333,0.7,0.56,,
6.866666667,0.52,0.34,,
6.8,0.32,0.17,,
6.766666667,0.33,0.22,,
6.8,0.88,0.4,,
7.1,0.31,0.14,86,22.2
6.733333333,0.37,0.26,76,22.8
6.583333333,0.51,0.26,95.2,23.4
21.98333333,0.52,0.09,417,24
7.933333333,0.35,0.29,78.5,22.1
7.583333333,0.65,0.17,497,23.1
7.7,0.69,0.37,496,23.1
7.833333333,0.69,0.58,480,22.8
6.5,0.48,0.42,,
6.366666667,0.66,0.13,,
15.7,0.62,0.34,,
15.55,0.36,0.25,,
15.53333333,0.34,0.21,,
6.033333333,0.48,0.39,410,23.9
6.133333333,0.55,0.43,398,23.9
6.1,0.49,0.38,430,24.6
6.1,0.57,0.39,433,24.8
6,0.62,0.4,426,25
14.21666667,0.51,0.33,453,26.5
14.25,0.56,0.32,469,26
19,0.29,0.04,435,24.6
17.05,0.47,0.04,426,23.6
17.08333333,0.67,0.21,390,24.2
17.1,0.62,0.32,59.1,23.1
17.06666667,0.45,0.17,92.8,23.2
17.13333333,0.37,0.22,84.3,25.2
6.966666667,0.13,0.09,76.8,22.2
6.766666667,0.37,0.06,490,22.5
6.583333333,0.34,0.16,198.8,23.3
6.6,0.37,0.07,231,24.5
7.533333333,0.63,0.48,439,23.1
7.233333333,0.78,0.27,432,24.2
7.116666667,0.91,0.54,435,23.1
6.866666667,0.6,0.32,88.1,23.1
6.733333333,0.85,0.41,358,24.3
22.43333333,0.86,0.02,401,24
6.683333333,0.95,0.4,386,25.4
21.85,0.72,0.03,425,24.1
7.566666667,0.61,0.31,390,24.1
7.566666667,0.68,0.52,429,24.8
7.533333333,0.73,0.24,396,24.3
23.16666667,0.89,0.56,491,24
7.5,0.64,0.44,390,23.7
23.21666667,0.76,0.05,441,23.5
19.4,0.88,0.08,379,24.8
17.1,0.83,0.61,495,24.7
16.25,0.68,0.18,434,24.6
15.35,0.78,0.52,392,24.3
8.1,0.37,0.34,99.7,23.7
15.65,0.78,0.34,466,22.4
6.166666667,0.55,0.22,106.8,22.7
6.233333333,0.68,0.29,90.3,23.1
6.333333333,0.58,0.19,90.9,23.1
6.283333333,0.19,0.09,118.3,23.3
6.766666667,0.42,0.27,392,24
7.183333333,1.06,0.86,409,24.7
8.583333333,0.61,0.44,358,23.8
8.4,0.66,0.34,463,24.7
8.633333333,0.4,0.3,402,24.2
18.26666667,1.05,0.93,422,26.5
16.28333333,0.41,0.2,387,25.8
7.1,0.58,0.47,366,24.3
6.6,0.68,0.55,391,23.8
6.3,1.08,0.82,427,24.2
8.466666667,0.18,0.03,75.8,23.4
8.533333333,0.23,0.08,85.5,24.3
9.066666667,0.26,0.11,73.3,23.3
22.11666667,0.42,0.04,72.6,23.9
22.08333333,0.85,0.22,419,24.3
21.96666667,0.99,0.31,413,24.2
22.25,0.68,0.12,386,25.5
22.46666667,0.62,0.26,377,24.8
22.18333333,0.41,0.09,132.6,23.1
7.35,0.84,0.36,420,23.6
7.3,0.58,0.31,491,24
7.35,0.96,0.28,395,24.1
7.366666667,1,0.64,443,23.9
7.316666667,0.59,0.42,390,23.8
7.866666667,0.62,0.45,415,23.6
8.683333333,0.71,0.56,394,23.3
18.06666667,0.52,0.37,334,24.5
16.31666667,0.51,0.21,358,25.1
15.83333333,0.74,0.48,489,26.5
15.76666667,0.91,0.56,491,24.7
15.7,0.66,0.06,414,24.4
8.466666667,0.86,0.15,243,22.6
8.283333333,0.13,0.05,73.4,22.8
8.633333333,0.91,0.73,257,23.8
8.65,0.79,0.51,263,23.9
14.38333333,0.42,0.04,88.4,24.2
14.4,0.55,0.08,90.2,26.8
14.55,0.5,0.03,87.6,23.4
14.51666667,0.66,0.09,78.5,22.7
