se4_lag,se1_frc,se1_wattemp,se1_cond,se4_frc
5.316666667,1.52,24.1,,0.45
6.2,0.83,,,0.38
5.383333333,1.54,23.9,,0.44
6.383333333,0.9,,,0.5
5.366666667,1.5,24.6,,0.42
5.266666667,0.71,,,0.25
5.316666667,1.12,23.4,,0.29
5.366666667,0.58,,,0.18
5.35,0.46,23.4,,0.18
5.533333333,0.69,,,0.2
4.983333333,0.42,23.9,,0.16
16.55,0.52,25.9,294,0.24
5.783333333,0.48,,,0.18
5.666666667,0.37,23.9,,0.13
16.65,0.52,26.1,296,0.32
5.666666667,0.48,,,0.21
5.75,0.38,23.8,,0.13
16.6,0.61,25.8,293,0.26
7.1,0.52,,,0.17
5.75,0.37,23.8,,0.11
16.66666667,0.68,26.8,299,0.28
6.966666667,0.42,,,0.26
5.7,0.32,23.9,,0.12
16.73333333,0.73,26.4,301,0.42
6.95,0.48,,,0.2
5.666666667,1.06,24.4,,0.36
16.76666667,0.33,25.1,269,0.18
6.866666667,0.52,,,0.15
5.7,1.1,24.6,,0.34
6.866666667,0.52,,,0.25
5.716666667,1.09,24.6,,0.33
7.15,0.4,,,0.21
5.65,1.11,24.3,,0.39
5.7,0.91,23.5,,0.36
6.916666667,0.42,,,0.31
5.983333333,0.62,25.4,,0.27
6.85,0.48,,,0.18
6.016666667,0.68,25.4,,0.31
16.1,1.06,,,0.26
6.033333333,0.64,25.3,,0.22
6.016666667,0.69,25.3,,0.23
15.06666667,1.3,,,0.39
6.866666667,0.68,,,0.25
6.55,0.84,24.2,,0.34
16.1,1.26,,,0.45
16.05,0.67,,,0.28
7.116666667,0.53,,,0.2
17.5,0.67,21.4,462,0.41
15.75,0.8,,,0.39
17.38333333,0.66,21.3,452,0.41
7.05,0.56,,,0.32
15.71666667,0.75,,,0.33
17.55,0.65,23.1,463,0.31
7.05,0.42,,,0.18
17.5,0.63,23.1,442,0.31
6.95,0.42,,,0.25
17.46666667,0.68,23.1,462,0.21
6.816666667,0.48,,,0.21
6.466666667,0.68,,,0.32
17.35,0.55,25.6,293,0.28
17.31666667,0.84,25.9,292,0.21
14.7,0.81,,,0.37
17.35,0.55,25.3,293,0.33
15.6,0.78,,,0.34
